Type, ID, Coordinates
TH30,0,498016,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 0.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498018,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498020,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498022,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 0.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 0.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498024,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 0.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498026,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 0.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498028,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 0.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498030,Line(StartPoint = Point(X = 35000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 35000.000, Y = 37000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498032,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 38000.000, Y = 37000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498034,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 0.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 0.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498036,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 0.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
